id;latitude;longitude;descricao
1;Gerais;El;real-time transform marca
2;wireless stable Livros;deliver;Madeira Mouse
3;interface Yuan Madeira;Nova XML Avenida;Toalhas
4;calculate National;Amapá Esportes Innovative;TCP
5;Codes;Assistant generating;content-based
6;quantifying bi-directional Jogos;Designer hacking;Sabonete Account
7;generation;International Loan;instruction neural copying
8;Chade;Markets;transmitting Internal Sabonete
9;deposit Atum up;Bedfordshire;system cohesive
10;deposit Branding open-source;parse non-volatile;technologies
